# index cotheta theta phi
2.5500e+02 1.7027e+00 1.2154e+00 1.9862e+00
2.5600e+02 3.0387e+00 9.5627e-01 2.1426e+00
2.5700e+02 8.8533e-01 8.4646e-01 5.1638e-01
2.5800e+02 -1.6858e+00 1.2585e+00 1.8065e-01
2.5900e+02 5.4207e-01 9.9758e-01 4.4880e+00
2.6000e+02 4.9783e-01 1.1844e+00 2.0770e+00
2.6100e+02 7.4022e-01 1.0944e+00 1.6396e+00
2.6200e+02 2.4419e+00 1.0444e+00 1.5562e+00
2.6300e+02 -1.2219e-01 6.4476e-01 8.3620e-01
2.6400e+02 -5.3433e-01 1.5300e-01 5.2518e+00
2.6500e+02 2.7964e+00 5.1823e-01 1.3350e+00
2.6600e+02 -1.1058e-01 9.7484e-01 3.1017e-01
2.6700e+02 1.5040e+00 1.0008e+00 1.2063e+00
2.6800e+02 1.2131e+00 3.9578e-01 2.8171e+00
2.6900e+02 1.6916e+00 1.1874e+00 2.0492e+00
2.7000e+02 1.0374e+00 1.0117e+00 1.9982e+00
2.7100e+02 2.6597e+00 7.7112e-01 3.0476e-01
2.7200e+02 7.9887e-02 5.8086e-01 4.1579e+00
2.7300e+02 1.0644e+00 6.2197e-01 2.2495e+00
2.7400e+02 2.0849e+00 7.9669e-01 2.2101e+00
2.7500e+02 -4.0207e-01 1.0945e+00 5.2442e+00
2.7600e+02 -9.1153e-01 2.3455e-01 1.4651e+00
2.7700e+02 1.0062e-01 9.1081e-01 9.3163e-01
2.7800e+02 9.7243e-01 8.5304e-01 3.2574e+00
2.7900e+02 2.4906e-01 3.3997e-01 1.3450e+00
2.8000e+02 7.4220e-01 5.5705e-01 3.3571e+00
2.8100e+02 3.2559e-01 1.4314e+00 5.5453e+00
2.8200e+02 1.2149e+00 1.3666e+00 1.6866e+00
2.8300e+02 4.4649e-02 1.1145e+00 1.7935e+00
2.8400e+02 -2.0931e-01 1.2965e+00 6.1561e+00
2.8500e+02 1.7023e+00 9.7685e-01 1.9942e+00
2.8600e+02 9.6757e-01 8.0487e-01 2.8041e+00
2.8700e+02 4.1990e-01 7.5288e-01 5.0318e-01
2.8800e+02 -2.2977e-01 6.5785e-01 1.9577e+00
2.8900e+02 1.4842e+00 7.5034e-01 3.0565e+00
2.9000e+02 3.0433e+00 9.8599e-01 2.1054e+00
2.9100e+02 2.4021e+00 9.7484e-01 1.2606e+00
2.9200e+02 1.5275e+00 1.2019e+00 1.4578e+00
2.9300e+02 -2.7116e-01 4.3881e-01 1.8586e+00
2.9400e+02 2.8443e-01 6.9173e-01 5.5439e+00
2.9500e+02 4.4221e-01 7.6494e-01 2.7163e+00
2.9600e+02 6.0753e-01 1.5398e-01 5.2513e+00
2.9700e+02 1.2710e+00 5.1073e-01 1.4257e+00
2.9800e+02 1.0976e+00 1.1733e+00 1.0728e+00
2.9900e+02 7.0117e-01 9.9359e-01 3.7055e+00
3.0000e+02 -2.4042e-01 8.9312e-01 6.0013e+00
3.0100e+02 6.0264e-01 8.1752e-01 2.1795e+00
3.0200e+02 6.3794e-02 8.4446e-01 1.8328e+00
3.0300e+02 1.5977e+00 9.1715e-01 1.4691e+00
3.0400e+02 9.8143e-01 6.9015e-01 2.3130e+00
3.0500e+02 1.9568e-01 9.9865e-01 3.7814e+00
3.0600e+02 2.4071e-01 6.5912e-01 3.2463e+00
3.0700e+02 7.9964e-01 1.3953e+00 9.9989e-01
3.0800e+02 2.7312e-01 1.1313e+00 5.3563e-01
3.0900e+02 1.0203e+00 7.6339e-01 2.8907e+00
3.1000e+02 2.6035e+00 7.7531e-01 2.2430e+00
3.1100e+02 1.7269e-01 8.4505e-01 2.6254e+00
3.1200e+02 4.5254e-01 9.3774e-01 1.3648e-01
3.1300e+02 4.0881e-01 7.1663e-01 3.4136e-01
3.1400e+02 -2.9689e-02 5.6651e-01 4.4166e+00
3.1500e+02 6.5625e-01 3.5989e-01 4.0274e+00
3.1600e+02 1.3835e+00 9.3338e-01 2.3831e+00
3.1700e+02 1.4889e+00 6.8952e-01 7.4081e-01
3.1800e+02 5.8421e-01 4.6744e-01 1.6243e+00
3.1900e+02 6.4806e-01 8.9852e-01 3.4638e+00
3.2000e+02 7.9478e-01 1.0006e+00 1.9367e+00
3.2100e+02 3.6550e-01 6.6812e-01 5.3992e+00
3.2200e+02 7.7732e-01 1.3555e+00 2.0991e+00
3.2300e+02 1.4327e-01 1.0319e+00 3.1890e+00
3.2400e+02 5.1876e-01 4.9285e-01 5.0649e+00
3.2500e+02 8.1002e-01 6.9418e-01 2.2212e+00
3.2600e+02 1.4858e-01 8.8262e-01 4.5157e+00
3.2700e+02 1.9832e+00 1.0197e+00 3.2547e+00
3.2800e+02 6.6150e-01 4.6737e-01 4.9958e-02
3.2900e+02 4.0261e-01 4.3881e-01 2.8538e+00
3.3000e+02 8.5034e-01 3.1025e-01 3.5701e+00
3.3100e+02 5.3523e-01 7.2730e-01 3.6740e+00
3.3200e+02 2.5308e+00 1.0708e+00 1.6141e+00
3.3300e+02 1.1369e-01 1.3165e+00 1.5221e+00
3.3400e+02 1.3056e+00 5.1325e-01 1.7118e+00
3.3500e+02 2.5531e+00 8.3810e-01 2.1521e+00
3.3600e+02 6.4677e-01 1.3470e+00 9.3061e-01
3.3700e+02 2.7923e+00 1.0701e+00 1.5570e+00
3.3800e+02 -4.5965e-01 2.8486e-01 3.0508e+00
3.3900e+02 1.7489e+00 1.3802e+00 1.4939e+00
3.4000e+02 6.4105e-01 8.8709e-01 2.9002e+00
3.4100e+02 8.9956e-01 9.6269e-01 5.2140e-01
3.4200e+02 3.2838e-01 1.1760e+00 2.3726e+00
3.4300e+02 7.3205e-01 7.5969e-01 3.7696e+00
3.4400e+02 1.2735e+00 9.8597e-01 4.0508e+00
3.4500e+02 1.7548e+00 9.4880e-01 2.4636e+00
3.4600e+02 4.8786e-01 6.2234e-01 3.8212e+00
3.4700e+02 1.2108e+00 5.6704e-01 7.8596e-01
3.4800e+02 -1.9440e-01 6.4116e-01 4.2336e+00
3.4900e+02 -3.8932e-01 9.1877e-01 5.9732e+00
3.5000e+02 1.3821e+00 9.1142e-01 2.6505e+00
3.5100e+02 7.7999e-01 9.3473e-01 3.0831e+00
3.5200e+02 1.5787e+00 1.1825e+00 1.4073e+00
3.5300e+02 4.2795e-01 7.8092e-01 2.7854e+00
3.5400e+02 -7.8041e-02 1.1474e+00 4.5806e+00
3.5500e+02 8.5190e-01 4.2914e-01 6.1012e+00
3.5600e+02 -2.6666e-01 1.3030e+00 4.8064e+00
3.5700e+02 3.3178e-01 6.9979e-01 3.3658e+00
3.5800e+02 1.7396e+00 1.2003e+00 1.9838e+00
3.5900e+02 1.4492e+00 6.4549e-01 2.8206e+00
3.6000e+02 1.8930e+00 1.1254e+00 1.2490e+00
3.6100e+02 -3.3329e-01 8.3360e-01 4.2370e+00
3.6200e+02 -2.0996e-01 1.0587e+00 5.9320e+00
3.6300e+02 1.5870e+00 1.1658e+00 1.8347e+00
3.6400e+02 8.4926e-01 5.3052e-01 3.1835e-01
3.6500e+02 4.5148e-02 6.2456e-01 4.8225e+00
3.6600e+02 -3.6501e-01 1.2325e+00 4.7777e+00
3.6700e+02 4.6447e-01 7.5491e-01 3.8467e+00
3.6800e+02 7.0628e-01 9.9160e-01 3.2982e+00
3.6900e+02 4.6436e-01 1.2266e+00 1.5043e+00
3.7000e+02 -1.4318e-01 1.2465e+00 4.9556e+00
3.7100e+02 1.4862e+00 7.0763e-01 1.8523e+00
3.7200e+02 8.9014e-01 3.5178e-01 1.9422e+00
3.7300e+02 7.6945e-01 3.7932e-01 4.6491e+00
3.7400e+02 4.9966e-01 2.5882e-01 2.3562e+00
3.7500e+02 1.1914e+00 1.2796e+00 1.6903e+00
3.7600e+02 2.8341e+00 5.2087e-01 1.3365e+00
3.7700e+02 1.2511e+00 8.5062e-01 3.1195e+00
3.7800e+02 2.3627e-01 8.7606e-01 4.1789e+00
3.7900e+02 2.5289e+00 7.5409e-01 2.4369e+00
3.8000e+02 1.7533e-01 2.8475e-01 4.7986e+00
